Test 5
5563183d
ProductName: DCS
FileVersion: 1.2.16.39472
ProductVersion: 1.2.16.39472
time = 20150525-224037; ObjectID = 16777728; name = ZSU-23-4 Shilka; country = 0; Lat = 42.192134; Long = 41.640548; Alt = 0.000000; Hdg = 2.424271; type = 2.16.105.30
time = 20150525-224037; ObjectID = 16844800; name = Vulcan; country = 2; Lat = 41.928653; Long = 41.851486; Alt = 18.000000; Hdg = 5.050713; type = 2.16.105.46
time = 20150525-224037; ObjectID = 16846848; name = Soldier M4; country = 2; Lat = 41.926609; Long = 41.859408; Alt = 18.000000; Hdg = 4.670746; type = 2.17.26.90
time = 20150525-224037; ObjectID = 16783872; name = T-55; country = 0; Lat = 42.203706; Long = 41.918447; Alt = 10.146554; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224037; ObjectID = 16785920; name = T-55; country = 0; Lat = 42.195367; Long = 41.921551; Alt = 8.241483; Hdg = 2.429234; type = 2.17.26.16
time = 20150525-224037; ObjectID = 16787968; name = BRDM-2; country = 0; Lat = 42.164347; Long = 42.132297; Alt = 15.099614; Hdg = 2.553587; type = 2.17.26.10
time = 20150525-224037; ObjectID = 16826624; name = Ural-4320-31; country = 0; Lat = 42.118802; Long = 42.259521; Alt = 31.184052; Hdg = 4.622300; type = 2.17.25.6
time = 20150525-224037; ObjectID = 16828672; name = UAZ-469; country = 0; Lat = 42.118858; Long = 42.261138; Alt = 31.327188; Hdg = 5.280478; type = 2.17.25.38
time = 20150525-224037; ObjectID = 16830720; name = Ural-375; country = 0; Lat = 42.118956; Long = 42.261007; Alt = 31.245054; Hdg = 5.437240; type = 2.17.25.40
time = 20150525-224037; ObjectID = 16848640; name = A-10C; country = 2; Lat = 41.927465; Long = 41.850750; Alt = 20.387085; Hdg = 1.221731; type = 1.1.6.58
time = 20150525-224037; ObjectID = 16848384; name = A-10C; country = 2; Lat = 41.927703; Long = 41.850940; Alt = 20.283772; Hdg = 1.224743; type = 1.1.6.58
time = 20150525-224037; ObjectID = 16848128; name = M 818; country = 2; Lat = 41.927187; Long = 41.858850; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224037; ObjectID = 16847872; name = M978 HEMTT Tanker; country = 2; Lat = 41.927109; Long = 41.858076; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224037; ObjectID = 16847616; name = HEMTT TFFT; country = 2; Lat = 41.927050; Long = 41.857503; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224037; ObjectID = 16847360; name = M6 Linebacker; country = 2; Lat = 41.930657; Long = 41.859142; Alt = 18.000000; Hdg = 4.185446; type = 2.16.104.51
time = 20150525-224038; ObjectID = 16777984; name = ZSU-23-4 Shilka; country = 0; Lat = 42.198411; Long = 41.639474; Alt = 0.000000; Hdg = 4.601732; type = 2.16.105.30
time = 20150525-224038; ObjectID = 16845056; name = Vulcan; country = 2; Lat = 41.930578; Long = 41.871684; Alt = 18.000000; Hdg = 1.118642; type = 2.16.105.46
time = 20150525-224038; ObjectID = 16847104; name = Soldier M4; country = 2; Lat = 41.926616; Long = 41.859381; Alt = 21.394918; Hdg = 2.896614; type = 2.17.26.90
time = 20150525-224038; ObjectID = 16784128; name = T-55; country = 0; Lat = 42.202847; Long = 41.938895; Alt = 10.218915; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16786176; name = BRDM-2; country = 0; Lat = 42.170696; Long = 42.119468; Alt = 12.711155; Hdg = 0.000000; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16788224; name = BRDM-2; country = 0; Lat = 42.165071; Long = 42.129674; Alt = 14.727321; Hdg = 1.127347; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16826880; name = Ural-4320-31; country = 0; Lat = 42.118795; Long = 42.259645; Alt = 31.203133; Hdg = 4.601722; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16828928; name = UAZ-469; country = 0; Lat = 42.117870; Long = 42.261249; Alt = 32.021378; Hdg = 0.000000; type = 2.17.25.38
time = 20150525-224038; ObjectID = 16830976; name = Ural-375; country = 0; Lat = 42.118999; Long = 42.260955; Alt = 31.209557; Hdg = 5.539416; type = 2.17.25.40
time = 20150525-224038; ObjectID = 16778240; name = ZSU-23-4 Shilka; country = 0; Lat = 42.198369; Long = 41.648145; Alt = 0.000000; Hdg = 1.430871; type = 2.16.105.30
time = 20150525-224038; ObjectID = 16845312; name = Hummer; country = 2; Lat = 41.932250; Long = 41.860363; Alt = 18.000000; Hdg = 3.941483; type = 2.17.25.14
time = 20150525-224038; ObjectID = 16782336; name = T-55; country = 0; Lat = 42.206067; Long = 41.915878; Alt = 10.013263; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16784384; name = T-55; country = 0; Lat = 42.200492; Long = 41.914534; Alt = 9.302426; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16786432; name = BRDM-2; country = 0; Lat = 42.168893; Long = 42.115994; Alt = 13.227118; Hdg = 4.380589; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16788480; name = BRDM-2; country = 0; Lat = 42.166972; Long = 42.119757; Alt = 13.854740; Hdg = 4.622541; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16827136; name = Ural-4320-31; country = 0; Lat = 42.118012; Long = 42.259882; Alt = 31.769497; Hdg = 1.556701; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16829184; name = UAZ-469; country = 0; Lat = 42.117951; Long = 42.261261; Alt = 31.966583; Hdg = 0.000000; type = 2.17.25.38
time = 20150525-224038; ObjectID = 16845568; name = Hummer; country = 2; Lat = 41.926617; Long = 41.859333; Alt = 18.000000; Hdg = 6.118037; type = 2.17.25.14
time = 20150525-224038; ObjectID = 16782592; name = T-55; country = 0; Lat = 42.202709; Long = 41.907555; Alt = 8.650128; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16784640; name = T-55; country = 0; Lat = 42.200676; Long = 41.915459; Alt = 9.459134; Hdg = 2.429236; type = 2.17.26.16
